id,level_id,strand_id,book_code,title,slug,book_type,sequence_position,page_count,word_count,new_hfw,new_phonics,new_morpheme,comprehension_focus,reviewed_hfws,reviewed_phonics,teaching_summary,source_master,cover_image_url,pdf_url,audio_url,is_active
43,2,3,PR-2-03,Get Set Go,pr-2-03-get-set-go,Tafiya Fiction,25,8,29,,,,Rhythm and Oral Language,"a, the, I, and, is, he, she, was, his, to","s, a, t, p, i, n, m, g, o, c, k, e, u, r, h",Rhythm and Oral Language,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/pr-2-03.webp,/assets/placeholders/pdfs/pr-2-03.pdf,/assets/placeholders/audio/pr-2-03.mp3,1
44,3,2,H-3-A,To,h-3-a-to,Hafwas Book,1,12,49,,,,,"a, and, he, his, i, is, she, the, to, was",,Consolidation: HFW 'to' (introduced L2),L3_MASTER_v1_4_PG4_fixed.csv,/assets/placeholders/covers/h-3-a.webp,/assets/placeholders/pdfs/h-3-a.pdf,/assets/placeholders/audio/h-3-a.mp3,1
45,3,2,H-3-B,Said,h-3-b-said,Hafwas Book,2,12,55,said,,,,"a, and, he, his, i, is, she, the, to, was",,said,L3_MASTER_v1_4_PG4_fixed.csv,/assets/placeholders/covers/h-3-b.webp,/assets/placeholders/pdfs/h-3-b.pdf,/assets/placeholders/audio/h-3-b.mp3,1
46,3,1,S-3-01,Bisi and the Bell,s-3-01-bisi-and-the-bell,Soundable,3,12,84,,b /b/,,,,"s, a, t, p, i, n, m, g, o, c, k, e, u, r, h",b /b/,L3_MASTER_v1_4_PG4_fixed.csv,/assets/placeholders/covers/s-3-01.webp,/assets/placeholders/pdfs/s-3-01.pdf,/assets/placeholders/audio/s-3-01.mp3,1
47,3,2,H-3-C,You,h-3-c-you,Hafwas Book,4,12,48,you,,,,"a, and, he, his, i, is, said, she, the, to, was",,you,L3_MASTER_v1_4_PG4_fixed.csv,/assets/placeholders/covers/h-3-c.webp,/assets/placeholders/pdfs/h-3-c.pdf,/assets/placeholders/audio/h-3-c.mp3,1
48,3,1,S-3-02,Fati and the Fan,s-3-02-fati-and-the-fan,Soundable,5,12,92,,f /f/,,,,"s, a, t, p, i, n, m, g, o, c, k, e, u, r, h, b /b/",f /f/,L3_MASTER_v1_4_PG4_fixed.csv,/assets/placeholders/covers/s-3-02.webp,/assets/placeholders/pdfs/s-3-02.pdf,/assets/placeholders/audio/s-3-02.mp3,1
49,3,2,H-3-D,They,h-3-d-they,Hafwas Book,6,12,55,they,,,,"a, and, he, his, i, is, said, she, the, to, was, you",,they,L3_MASTER_v1_4_PG4_fixed.csv,/assets/placeholders/covers/h-3-d.webp,/assets/placeholders/pdfs/h-3-d.pdf,/assets/placeholders/audio/h-3-d.mp3,1
50,3,1,S-3-03,Ladi and the Log,s-3-03-ladi-and-the-log,Soundable,7,12,84,,l /l/,,,,"s, a, t, p, i, n, m, g, o, c, k, e, u, r, h, b /b/, f /f/",l /l/,L3_MASTER_v1_4_PG4_fixed.csv,/assets/placeholders/covers/s-3-03.webp,/assets/placeholders/pdfs/s-3-03.pdf,/assets/placeholders/audio/s-3-03.mp3,1
51,3,2,H-3-E,With,h-3-e-with,Hafwas Book,8,12,47,with,,,,"a, and, he, his, i, is, said, she, the, they, to, was, you",,with,L3_MASTER_v1_4_PG4_fixed.csv,/assets/placeholders/covers/h-3-e.webp,/assets/placeholders/pdfs/h-3-e.pdf,/assets/placeholders/audio/h-3-e.mp3,1
52,3,1,S-3-04,"The Bell, the Bag, and the Mess",s-3-04-the-bell-the-bag-and-the-mess,Soundable,9,12,101,,"ff, ll, ss (Floss Rule)",,,,"s, a, t, p, i, n, m, g, o, c, k, e, u, r, h, b /b/, f /f/, l /l/","ff, ll, ss (Floss Rule)",L3_MASTER_v1_4_PG4_fixed.csv,/assets/placeholders/covers/s-3-04.webp,/assets/placeholders/pdfs/s-3-04.pdf,/assets/placeholders/audio/s-3-04.mp3,1
53,3,2,H-3-F,We,h-3-f-we,Hafwas Book,10,12,41,we,,,,"a, and, he, his, i, is, said, she, the, they, to, was, with, you",,we,L3_MASTER_v1_4_PG4_fixed.csv,/assets/placeholders/covers/h-3-f.webp,/assets/placeholders/pdfs/h-3-f.pdf,/assets/placeholders/audio/h-3-f.mp3,1
54,3,2,H-3-G,My,h-3-g-my,Hafwas Book,11,12,48,my,,,,"a, and, he, his, i, is, said, she, the, they, to, was, we, with, you",,my,L3_MASTER_v1_4_PG4_fixed.csv,/assets/placeholders/covers/h-3-g.webp,/assets/placeholders/pdfs/h-3-g.pdf,/assets/placeholders/audio/h-3-g.mp3,1
55,3,1,S-3-05,Shola and the Ship,s-3-05-shola-and-the-ship,Soundable,12,12,98,,sh /ʃ/,,,,"s, a, t, p, i, n, m, g, o, c, k, e, u, r, h, b /b/, f /f/, l /l/, ff, ll, ss (Floss Rule)",sh /ʃ/,L3_MASTER_v1_4_PG4_fixed.csv,/assets/placeholders/covers/s-3-05.webp,/assets/placeholders/pdfs/s-3-05.pdf,/assets/placeholders/audio/s-3-05.mp3,1
56,3,2,H-3-H,What,h-3-h-what,Hafwas Book,13,12,45,what,,,,"a, and, he, his, i, is, my, said, she, the, they, to, was, we, with, you",,what,L3_MASTER_v1_4_PG4_fixed.csv,/assets/placeholders/covers/h-3-h.webp,/assets/placeholders/pdfs/h-3-h.pdf,/assets/placeholders/audio/h-3-h.mp3,1
57,3,1,S-3-06,Chike and the Chin-Chin,s-3-06-chike-and-the-chin-chin,Soundable,14,12,64,,ch /tʃ/,,,,"s, a, t, p, i, n, m, g, o, c, k, e, u, r, h, b /b/, f /f/, l /l/, ff, ll, ss (Floss Rule), sh /ʃ/",ch /tʃ/,L3_MASTER_v1_4_PG4_fixed.csv,/assets/placeholders/covers/s-3-06.webp,/assets/placeholders/pdfs/s-3-06.pdf,/assets/placeholders/audio/s-3-06.mp3,1
58,3,2,H-3-I,Out,h-3-i-out,Hafwas Book,15,12,45,out,,,,"a, and, he, his, i, is, my, said, she, the, they, to, was, we, what, with, you",,out,L3_MASTER_v1_4_PG4_fixed.csv,/assets/placeholders/covers/h-3-i.webp,/assets/placeholders/pdfs/h-3-i.pdf,/assets/placeholders/audio/h-3-i.mp3,1
